Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,97.87000274658203,98.62999725341797,96.77999877929688,96.83000183105469,77.92557525634766,526900
2010-01-04,97.23999786376953,97.97000122070312,96.19999694824219,97.23999786376953,78.25550842285156,535200
2010-01-05,96.95999908447266,97.48999786376953,96.13999938964844,97.27999877929688,78.2876968383789,594500
2010-01-06,97.2699966430664,98.25,97.2699966430664,97.6500015258789,78.58547973632812,486800
2010-01-07,97.2699966430664,98.69999694824219,96.70999908447266,98.56999969482422,79.32586669921875,650100
2010-01-08,98.0,99.8499984741211,97.7699966430664,99.7300033569336,80.25938415527344,705600
2010-01-11,99.45999908447266,100.37999725341797,99.22000122070312,100.1500015258789,80.59739685058594,561000
2010-01-12,99.45999908447266,100.22000122070312,99.25,100.11000061035156,80.56519317626953,559900
2010-01-13,100.16000366210938,100.5999984741211,99.5999984741211,100.55000305175781,80.91929626464844,330000
2010-01-14,100.56999969482422,100.68000030517578,99.75,100.38999938964844,80.79054260253906,413800
2010-01-15,100.0199966430664,100.47000122070312,99.12999725341797,100.04000091552734,80.50886535644531,771500
2010-01-19,100.08000183105469,102.0,99.56999969482422,101.33999633789062,81.55506896972656,768000
2010-01-20,101.02999877929688,101.08999633789062,99.77999877929688,100.87000274658203,81.17682647705078,618600
2010-01-21,101.0,101.23999786376953,99.04000091552734,99.56999969482422,80.1306381225586,827500
2010-01-22,98.94999694824219,99.61000061035156,98.62999725341797,98.88999938964844,79.5833969116211,1060300
2010-01-25,99.44999694824219,101.37999725341797,99.12000274658203,100.94000244140625,81.23312377929688,1901600
2010-01-26,100.16000366210938,101.48999786376953,98.1500015258789,99.41999816894531,80.00991821289062,2164200
2010-01-27,99.55000305175781,100.33999633789062,99.0,100.12000274658203,80.57324981689453,1209600
2010-01-28,100.23999786376953,101.30999755859375,99.23999786376953,100.76000213623047,81.08831787109375,1004100
2010-01-29,100.86000061035156,102.12999725341797,99.27999877929688,99.27999877929688,79.8972396850586,892300
2010-02-01,99.66999816894531,100.36000061035156,98.26000213623047,99.94000244140625,80.42839813232422,795000
2010-02-02,100.4000015258789,102.44999694824219,99.94000244140625,102.38999938964844,82.4000473022461,895100
2010-02-03,102.0199966430664,103.0,101.97000122070312,102.26000213623047,82.2954330444336,696700
2010-02-04,101.5,101.5,99.12000274658203,99.18000030517578,80.17743682861328,931200
2010-02-05,98.9000015258789,100.11000061035156,97.87999725341797,99.33000183105469,80.29865264892578,729700
2010-02-08,98.9800033569336,100.0,97.98999786376953,98.56999969482422,79.68431091308594,681200
2010-02-09,99.36000061035156,101.08000183105469,98.7300033569336,100.26000213623047,81.050537109375,780100
2010-02-10,100.26000213623047,100.91999816894531,99.08999633789062,99.6500015258789,80.55738830566406,484600
2010-02-11,99.80999755859375,100.87000274658203,98.7300033569336,100.80999755859375,81.49513244628906,949500
2010-02-12,99.9000015258789,101.11000061035156,99.33999633789062,100.8499984741211,81.52745819091797,662300
2010-02-16,101.0,102.04000091552734,100.69999694824219,102.04000091552734,82.48948669433594,540200
2010-02-17,102.16999816894531,102.86000061035156,101.61000061035156,102.63999938964844,82.97449493408203,640300
2010-02-18,102.69000244140625,104.31999969482422,102.31999969482422,104.2699966430664,84.29222106933594,613700
2010-02-19,103.9000015258789,104.91000366210938,103.55000305175781,104.13999938964844,84.18710327148438,816900
2010-02-22,104.68000030517578,104.80999755859375,103.5199966430664,103.63999938964844,83.78289031982422,392800
2010-02-23,103.31999969482422,104.43000030517578,102.75,102.83999633789062,83.13618469238281,685500
2010-02-24,103.4000015258789,104.0,102.91000366210938,103.51000213623047,83.6778335571289,544400
2010-02-25,102.20999908447266,102.76000213623047,100.9800033569336,102.48999786376953,82.853271484375,1059300
2010-02-26,102.43000030517578,102.91999816894531,101.0999984741211,101.6500015258789,82.1741943359375,1140800
2010-03-01,101.80000305175781,104.4000015258789,101.80000305175781,104.20999908447266,84.24369812011719,835700
2010-03-02,104.37999725341797,104.83999633789062,103.31999969482422,103.58000183105469,83.73440551757812,612100
2010-03-03,103.94000244140625,104.7699966430664,103.75,104.54000091552734,84.51046752929688,726700
2010-03-04,104.54000091552734,105.16999816894531,103.86000061035156,104.69999694824219,84.63982391357422,495000
2010-03-05,104.9000015258789,106.97000122070312,104.79000091552734,106.88999938964844,86.41023254394531,622000
2010-03-08,107.0,107.61000061035156,106.54000091552734,106.6500015258789,86.21621704101562,563700
2010-03-09,106.27999877929688,107.7300033569336,106.27999877929688,107.55999755859375,86.95185089111328,449900
2010-03-10,107.37000274658203,108.33000183105469,107.08999633789062,108.08000183105469,87.37226104736328,610900
2010-03-11,107.55000305175781,108.80999755859375,107.13999938964844,108.66999816894531,87.84916687011719,561500
2010-03-12,108.4800033569336,108.66999816894531,106.52999877929688,107.83000183105469,87.17015075683594,896700
2010-03-15,107.5199966430664,107.98999786376953,106.41000366210938,107.12999725341797,86.60420227050781,590900
2010-03-16,107.6500015258789,107.88999938964844,107.05999755859375,107.75,87.10546112060547,437400
2010-03-17,108.26000213623047,108.86000061035156,107.97000122070312,108.3499984741211,87.59049987792969,448200
2010-03-18,108.05000305175781,109.0999984741211,107.95999908447266,108.37000274658203,87.60665893554688,490900
2010-03-19,107.55999755859375,109.06999969482422,106.94000244140625,107.55999755859375,86.95185089111328,778100
2010-03-22,107.0999984741211,108.66999816894531,107.0999984741211,108.4000015258789,87.63090515136719,466500
2010-03-23,108.37000274658203,109.41999816894531,107.9800033569336,109.33999633789062,88.39080810546875,420700
2010-03-24,109.19000244140625,109.19000244140625,108.27999877929688,108.87999725341797,88.0189437866211,538000
2010-03-25,109.37000274658203,109.9800033569336,108.69000244140625,108.75,87.91384887695312,513100
2010-03-26,108.9800033569336,109.76000213623047,108.66999816894531,109.05000305175781,88.15636444091797,303800
2010-03-29,109.16999816894531,109.7300033569336,109.08999633789062,109.47000122070312,88.49590301513672,229300
2010-03-30,109.62000274658203,109.95999908447266,108.93000030517578,109.26000213623047,88.32613372802734,583800
2010-03-31,108.97000122070312,109.3499984741211,107.95999908447266,108.12000274658203,87.40457153320312,582300
2010-04-01,108.79000091552734,109.87999725341797,108.75,109.52999877929688,88.54440307617188,413200
2010-04-05,109.97000122070312,112.87000274658203,109.61000061035156,112.19000244140625,90.69477081298828,599800
2010-04-06,111.80999755859375,112.97000122070312,111.51000213623047,112.69999694824219,91.10704803466797,348700
2010-04-07,112.86000061035156,115.55999755859375,112.0999984741211,113.91999816894531,92.09329223632812,909000
2010-04-08,113.45999908447266,114.66999816894531,113.0199966430664,114.16999816894531,92.29539489746094,689700
2010-04-09,114.63999938964844,114.91000366210938,113.41999816894531,114.7699966430664,92.78044128417969,610600
